page,text,type,entity_id,finder,confidence,surrogate
1,CJ DARCL LOGISTICS LIMITED,ORG,ORG1,gliner,0.99,BAUTISTA-REYNOLDS LIMITED
1,"55P, Sector – 44, Institutional Area, Gurugram – 122003",ADDRESS,ADDR1,regex,0.85,"437 Robert Groves, East Joelmouth, South Carolina 60839"
1,Apoorva Kumar,PERSON,P1,gliner,0.98,Ashley Baker
1,Aarti Bhargava,PERSON,P2,gliner,0.97,Grant Ferrell
1,KRISHAN KUMAR AGARWAL,PERSON,P3,gliner,0.98,JESSICA BAKER GARCIA
1,DARSHAN KUMAR AGARWAL,PERSON,P4,gliner,0.97,YOLANDA BAKER GARCIA
1,"NARENDER
KUMAR AGARWAL",PERSON,P5,gliner,0.99,CHRISTINA BAKER GARCIA
1,NITESH AGARWAL,PERSON,P6,gliner,0.99,HEATHER GARCIA
1,CJ LOGISTICS CORPORATION,ORG,ORG2,gliner,0.96,BRADLEY-LEE CORPORATION
1,SHAREHOLDERS,PERSON,P7,propagate,0.9,STEVENSON
1,SHAREHOLDERS,PERSON,P7,propagate,0.9,STEVENSON
1,Krishan Kumar Agarwal,PERSON,P3,gliner,0.72,Jessica Baker Garcia
1,Nitesh Agarwal,PERSON,P6,gliner+propagate,0.9,Heather Garcia
1,Narender Kumar Agarwal,PERSON,P5,propagate,0.9,Christina Baker Garcia
1,Darshan Kumar Agarwal,PERSON,P4,propagate,0.9,Yolanda Baker Garcia
1,Vineet Aggarwal Promoter Group,ORG,ORG3,gliner+propagate,0.9,"Anderson, Cook and Herman"
1,Puneet Agarwal Promoter Group,ORG,ORG4,gliner+propagate,0.9,"Gomez, Campbell and Ryan"
1,Agarwal,PERSON,P3,propagate,0.9,Garcia
1,Aggarwal,PERSON,P8,propagate,0.9,Merritt
1,Aggarwal,PERSON,P8,propagate,0.9,Merritt
1,Darcl CJ TISIT CS,ORG,ORG5,gliner,0.77,Jackson-Oneill
2,Nikhil Agarwal Promoter Group,ORG,ORG6,gliner,0.78,"Hoffman, Tucker and Wheeler"
2,"Manian & Rao, Chartered Accountants",ORG,ORG7,gliner+propagate,0.9,"Berger, Mcclure and Phillips"
2,Shareholders,PERSON,P7,propagate,0.9,Stevenson
2,Shareholders,PERSON,P7,propagate,0.9,Stevenson
2,SHAREHOLDERS,PERSON,P7,propagate,0.9,STEVENSON
2,Shareholders,PERSON,P7,propagate,0.9,Stevenson
2,ICICI Securities Limited,ORG,ORG8,gliner,1.0,Strickland-Carroll Limited
2,Kishan Rastogi,PERSON,P9,gliner,0.96,Ronald Davidson
2,"Ashik
Joisar",PERSON,P10,gliner,0.96,Bryce Miller
2,+91 22 6807 7100,PHONE,PHONE1,regex+gliner,1.0,+91 08 5051 9860
2,cjdarclipo@icicisecurities.com,EMAIL,EMAIL1,regex+gliner,1.0,sherri25@example.com
2,"DAM Capital Advisors
Limited",ORG,ORG9,gliner,0.99,"Fox, Mann and Tucker
Limited"
2,Chintan Hefa,PERSON,P11,gliner,0.96,Deanna Peck
2,Jay Shah,PERSON,P12,gliner,0.88,Amy Peck
2,+91 22 4202 2500,PHONE,PHONE2,regex+gliner,1.0,+91 66 7623 4374
2,cjdarcl.ipo@damcapital.in,EMAIL,EMAIL2,regex+gliner,1.0,cgeorge@example.com
2,MUFG Intime India Private Limited,ORG,ORG10,gliner,1.0,Bridges-Bryant Private Limited
2,"Link Intime India Private
Limited",ORG,ORG11,gliner,0.98,"Newton, Gibson and Wallace
Limited"
2,Shanti Gopalkrishnan,PERSON,P13,gliner,0.98,Vincent Hernandez
2,+91 810 811 4949,PHONE,PHONE3,regex+gliner,1.0,+91 746 281 4754
2,cjdarcl.ipo@in.mpms.mufg.com,EMAIL,EMAIL3,regex+gliner,1.0,qrodriguez@example.com
4,DARCL LOGISTICS LIMITED,ORG,ORG12,gliner,0.96,ROBERTS-DAVIS LIMITED
4,Delhi Assam Roadways Corporation Private Limited,ORG,ORG13,gliner,0.94,"Smith, Carpenter and Wolfe Private Limited"
4,Delhi Assam Roadways Corporation,ORG,ORG14,gliner,0.79,"Lewis, Brown and Luna Corporation"
4,Shareholders,PERSON,P7,propagate,0.9,Stevenson
4,Darcl Logistics Limited,ORG,ORG12,gliner,0.99,Roberts-Davis LIMITED
4,CJ Darcl Logistics Limited,ORG,ORG1,gliner,0.99,Bautista-Reynolds LIMITED
4,CJ Logistics Corporation,ORG,ORG2,gliner,0.88,Bradley-Lee CORPORATION
4,"55P, Sector – 44, Institutional Area, Gurugram – 122003",ADDRESS,ADDR1,regex,0.85,"437 Robert Groves, East Joelmouth, South Carolina 60839"
4,Apoorva Kumar,PERSON,P1,gliner,0.97,Ashley Baker
4,Aarti Bhargava,PERSON,P2,gliner,0.96,Grant Ferrell
4,investors@cjdarcl.com,EMAIL,EMAIL4,regex+gliner,1.0,ruben83@example.com
4,KRISHAN KUMAR AGARWAL,PERSON,P3,gliner,0.99,JESSICA BAKER GARCIA
4,DARSHAN KUMAR AGARWAL,PERSON,P4,gliner,0.99,YOLANDA BAKER GARCIA
4,NARENDER KUMAR AGARWAL,PERSON,P5,gliner,0.99,CHRISTINA BAKER GARCIA
4,NITESH AGARWAL,PERSON,P6,gliner,0.99,HEATHER GARCIA
4,"CJ LOGISTICS
CORPORATION",ORG,ORG2,gliner,0.89,BRADLEY-LEE CORPORATION
4,CJ DARCL LOGISTICS LIMITED,ORG,ORG1,gliner,0.98,BAUTISTA-REYNOLDS LIMITED
4,KRISHAN KUMAR AGARWAL,PERSON,P3,gliner,0.99,JESSICA BAKER GARCIA
4,DARSHAN KUMAR AGARWAL,PERSON,P4,gliner,0.99,YOLANDA BAKER GARCIA
4,NARENDER KUMAR AGARWAL,PERSON,P5,gliner,0.99,CHRISTINA BAKER GARCIA
4,NITESH AGARWAL,PERSON,P6,gliner,0.99,HEATHER GARCIA
4,SHAREHOLDERS,PERSON,P7,propagate,0.9,STEVENSON
4,PROMOTER SELLING SHAREHOLDERS,PERSON,P7,gliner+propagate,0.9,DOMINIQUE CLAUDIA STEVENSON
4,PROMOTER GROUP SELLING SHAREHOLDERS,PERSON,P7,gliner,0.82,DOMINIQUE CHAD CLAUDIA STEVENSON
4,SHAREHOLDERS,PERSON,P7,propagate,0.9,STEVENSON
4,SHAREHOLDERS,PERSON,P7,propagate,0.9,STEVENSON
4,SHAREHOLDERS,PERSON,P7,propagate,0.9,STEVENSON
4,SHAREHOLDERS,PERSON,P7,propagate,0.9,STEVENSON
4,SHAREHOLDERS,PERSON,P7,propagate,0.9,STEVENSON
4,SHAREHOLDERS,PERSON,P7,propagate,0.9,STEVENSON
4,ENGLISH NATIONAL DAILY NEWSPAPER,ORG,ORG15,gliner+propagate,0.9,"WALSH, MCDANIEL AND JOHNSON"
4,rice Band,ORG,ORG16,gliner,0.8,Hernandez
